Earnings Date	EPS Estimate	Reported EPS	Surprise(%)
2026-11-05 15:00:00-05:00	-0.12		
2026-08-05 16:00:00-04:00	-0.13	-0.13	0.95
2026-05-07 16:00:00-04:00	-0.14	-0.14	-1.45
2026-02-26 16:00:00-05:00	-0.15	-0.8	-427.46
2025-11-06 16:00:00-05:00	-0.14	-1.85	-1175.86
2025-08-07 17:00:00-04:00	-0.11	-0.13	-16.07
2025-05-12 16:00:00-04:00	-0.11	-0.11	4.35
2025-03-03 17:00:00-05:00	-0.12	-0.77	-543.92
2024-11-07 16:00:00-05:00	-0.15	-0.18	-20.0
2024-08-08 16:00:00-04:00	-0.16	-0.31	-93.75
2024-05-09 16:00:00-04:00	-0.21	-0.21	
2024-03-14 16:00:00-04:00	-0.34	-0.25	26.47
2023-11-09 16:00:00-05:00	-0.1	-0.26	-172.99
2023-08-09 16:00:00-04:00	-0.03	-0.13	-284.62
2023-05-09 16:00:00-04:00	-0.08	-0.16	-88.84
2022-11-14 06:00:00-05:00	-0.08	-0.23	-205.61
