Date	Open	Open	Open	Open	High	High	High	High	Low	Low	Low	Low	Close	Close	Close	Close	Volume	Volume	Volume	Volume
2018-01-02		30.6				30.6				30.6				26.18				0		
2018-01-03		30.77				30.77				30.77				26.33				0		
2018-01-04		30.87				30.87				30.87				26.41				0		
2018-01-05		31.03				31.03				31.03				26.55				0		
2018-01-08		31.12				31.12				31.12				26.62				0		
2018-01-09		31.12				31.12				31.12				26.62				0		
2018-01-10		31.04				31.04				31.04				26.56				0		
2018-01-11		31.34				31.34				31.34				26.81				0		
2018-01-12		31.54				31.54				31.54				26.98				0		
2018-01-16		31.33				31.33				31.33				26.8				0		
2018-01-17		31.59				31.59				31.59				27.03				0		
2018-01-18		31.51				31.51				31.51				26.96				0		
2018-01-19		31.71				31.71				31.71				27.13				0		
2018-01-22		31.93				31.93				31.93				27.32				0		
2018-01-23		32.03				32.03				32.03				27.4				0		
2018-01-24		32.03				32.03				32.03				27.4				0		
2018-01-25		32.01				32.01				32.01				27.39				0		
2018-01-26		32.32				32.32				32.32				27.65				0		
2018-01-29		32.09				32.09				32.09				27.45				0		
2018-01-30		31.73				31.73				31.73				27.15				0		
2018-01-31		31.73				31.73				31.73				27.15				0		
2018-02-01		31.66				31.66				31.66				27.09				0		
2018-02-02		31.01				31.01				31.01				26.53				0		
2018-02-05		29.84				29.84				29.84				25.53				0		
2018-02-06		30.26				30.26				30.26				25.89				0		
2018-02-07		30.17				30.17				30.17				25.81				0		
2018-02-08		29.12				29.12				29.12				24.91				0		
2018-02-09		29.52				29.52				29.52				25.26				0		
2018-02-12		29.89				29.89				29.89				25.57				0		
2018-02-13		29.95				29.95				29.95				25.62				0		
2018-02-14		30.41				30.41				30.41				26.02				0		
2018-02-15		30.72				30.72				30.72				26.28				0		
2018-02-16		30.73				30.73				30.73				26.29				0		
2018-02-20		30.55				30.55				30.55				26.14				0		
2018-02-21		30.36				30.36				30.36				25.97				0		
2018-02-22		30.38				30.38				30.38				25.99				0		
2018-02-23		30.85				30.85				30.85				26.39				0		
2018-02-26		31.08				31.08				31.08				26.59				0		
2018-02-27		30.68				30.68				30.68				26.25				0		
2018-02-28		30.35				30.35				30.35				25.97				0		
2018-03-01		30.02				30.02				30.02				25.68				0		
2018-03-02		30.21				30.21				30.21				25.85				0		
2018-03-05		30.57				30.57				30.57				26.15				0		
2018-03-06		30.71				30.71				30.71				26.27				0		
2018-03-07		30.68				30.68				30.68				26.25				0		
2018-03-08		30.78				30.78				30.78				26.33				0		
2018-03-09		31.28				31.28				31.28				26.76				0		
2018-03-12		31.22				31.22				31.22				26.71				0		
2018-03-13		31.09				31.09				31.09				26.6				0		
2018-03-14		30.9				30.9				30.9				26.44				0		
2018-03-15		30.83				30.83				30.83				26.38				0		
2018-03-16		30.96				30.96				30.96				26.49				0		
2018-03-19		30.6				30.6				30.6				26.18				0		
2018-03-20		30.63				30.63				30.63				26.21				0		
2018-03-21		30.64				30.64				30.64				26.21				0		
2018-03-22		29.95				29.95				29.95				25.62				0		
2018-03-23		29.4				29.4				29.4				25.15				0		
2018-03-26		30.07				30.07				30.07				25.73				0		
2018-03-27		29.71				29.71				29.71				25.42				0		
2018-03-28		29.68				29.68				29.68				25.39				0		
2018-03-29		30.04				30.04				30.04				25.7				0		
2018-04-02		29.39				29.39				29.39				25.14				0		
2018-04-03		29.74				29.74				29.74				25.44				0		
2018-04-04		30.08				30.08				30.08				25.74				0		
2018-04-05		30.29				30.29				30.29				25.91				0		
2018-04-06		29.64				29.64				29.64				25.36				0		
2018-04-09		29.7				29.7				29.7				25.41				0		
2018-04-10		30.12				30.12				30.12				25.77				0		
2018-04-11		30.01				30.01				30.01				25.68				0		
2018-04-12		30.17				30.17				30.17				25.81				0		
2018-04-13		30.1				30.1				30.1				25.75				0		
2018-04-16		30.39				30.39				30.39				26.0				0		
2018-04-17		30.63				30.63				30.63				26.21				0		
2018-04-18		30.71				30.71				30.71				26.27				0		
2018-04-19		30.5				30.5				30.5				26.09				0		
2018-04-20		30.27				30.27				30.27				25.9				0		
2018-04-23		30.33				30.33				30.33				25.95				0		
2018-04-24		30.04				30.04				30.04				25.7				0		
2018-04-25		30.12				30.12				30.12				25.77				0		
2018-04-26		30.34				30.34				30.34				25.96				0		
2018-04-27		30.43				30.43				30.43				26.03				0		
2018-04-30		30.16				30.16				30.16				25.8				0		
2018-05-01		30.17				30.17				30.17				25.81				0		
2018-05-02		29.92				29.92				29.92				25.6				0		
2018-05-03		29.81				29.81				29.81				25.5				0		
2018-05-04		30.16				30.16				30.16				25.8				0		
2018-05-07		30.2				30.2				30.2				25.84				0		
2018-05-08		30.18				30.18				30.18				25.82				0		
2018-05-09		30.43				30.43				30.43				26.03				0		
2018-05-10		30.69				30.69				30.69				26.26				0		
2018-05-11		30.72				30.72				30.72				26.28				0		
2018-05-14		30.72				30.72				30.72				26.28				0		
2018-05-15		30.58				30.58				30.58				26.16				0		
2018-05-16		30.74				30.74				30.74				26.3				0		
2018-05-17		30.78				30.78				30.78				26.33				0		
